n,Ko,E,T,K
3,1690280103365.52,240,923,0.0441905986903875
3,1925541867244.98,241,923,0.0441905986903875
3,1925541867244.98,241,923,0.0441905986903875
3,2193548557502.9,242,923,0.0441905986903875
3,2498857779190.97,243,923,0.0441905986903875
3,2846661487964.34,244,923,0.0441905986903875
3,3242874282218.24,245,923,0.0441905986903875
3,3694233984172.32,246,923,0.0441905986903875
3,4208416220340.96,247,923,0.0441905986903875
3,4794164949894.71,248,923,0.0441905986903875
3,5461441160621.88,249,923,0.0441905986903875
3,6221592261148.63,250,923,0.0441905986903875
4,1523572890642.43,240,923,0.0398322136383651
4,1735631498525.1,241,923,0.0398322136383651
4,1977205499765.92,242,923,0.0398322136383651
4,2252402996619.2,243,923,0.0398322136383651
4,2565903877861.85,244,923,0.0398322136383651
4,2923039402943.74,245,923,0.0398322136383651
4,3329882863064.01,246,923,0.0398322136383651
4,3793352860916.22,247,923,0.0398322136383651
4,4321330965432.4,248,923,0.0398322136383651
4,4922795742311.86,249,923,0.0398322136383651
4,5607975439599.05,250,923,0.0398322136383651
6,27230294564607500,240,923,711.907462514448
6,31020345170700000,241,923,711.907462514448
6,35337914256721800,242,923,711.907462514448
6,40256424522152900,243,923,711.907462514448
6,45859518010447800,244,923,711.907462514448
6,52242478489198000,245,923,711.907462514448
6,59513851804384600,246,923,711.907462514448
6,67797291763763300,247,923,711.907462514448
6,77233662939661700,248,923,711.907462514448
6,87983436150550000,249,923,711.907462514448
6,100229417357889000,250,923,711.907462514448
5,2602321708779470,240,923,68.0349689184554
5,2964526052408820,241,923,68.0349689184554
5,3377143834969020,242,923,68.0349689184554
5,3847191854766140,243,923,68.0349689184554
5,4382663543708590,244,923,68.0349689184554
5,4992664900128820,245,923,68.0349689184554
5,5687569341425030,246,923,68.0349689184554
5,6479194109879810,247,923,68.0349689184554
5,7381001231535350,248,923,68.0349689184554
5,8408326445545710,249,923,68.0349689184554
5,9578639997077570,250,923,68.0349689184554
7,4.65E+16,240,9.23E+02,1.22E+03
7,5.30E+16,241,9.23E+02,1.22E+03
7,6.04E+16,242,9.23E+02,1.22E+03
7,6.88E+16,243,9.23E+02,1.22E+03
7,7.84E+16,244,9.23E+02,1.22E+03
7,8.93E+16,245,9.23E+02,1.22E+03
7,1.02E+17,246,9.23E+02,1.22E+03
7,1.16E+17,247,9.23E+02,1.22E+03
7,1.32E+17,248,9.23E+02,1.22E+03
7,1.50E+17,249,9.23E+02,1.22E+03
7,1.71E+17,250,9.23E+02,1.22E+03
7,5.31E+16,240,9.23E+02,1.39E+03
6,19395336324127000,240,923,507.070705179593
5,2377600629601980,240,923,62.1598722362957
4,1523572890642.43,240,923,0.0398322136383651
3,1690280103365.52,240,923,0.0441905986903875
7,6.05E+16,241,9.23E+02,1.39E+03
6,22094877675624900,241,923,507.070705179593
5,2708527152849410,241,923,62.1598722362957
4,1735631498525.1,241,923,0.0398322136383651
3,1925541867244.98,241,923,0.0441905986903875
7,6.90E+16,242,9.23E+02,1.39E+03
6,25170154894068500,242,923,507.070705179593
5,3085513709234950,242,923,62.1598722362957
4,1977205499765.92,242,923,0.0398322136383651
3,2193548557502.9,242,923,0.0441905986903875
7,7.86E+16,243,9.23E+02,1.39E+03
6,28673464804483400,243,923,507.070705179593
5,3514971167950530,243,923,62.1598722362957
4,2252402996619.2,243,923,0.0398322136383651
3,2498857779190.97,243,923,0.0441905986903875
7,8.95E+16,244,9.23E+02,1.39E+03
6,32664383169437700,244,923,507.070705179593
5,4004202695500870,244,923,62.1598722362957
4,2565903877861.85,244,923,0.0398322136383651
3,2846661487964.34,244,923,0.0441905986903875
7,1.02E+17,245,9.23E+02,1.39E+03
6,37210777808512900,245,923,507.070705179593
