n,E,Ko,T,K
3,240,1690280103365.52,923,0.0441905986903874
3,241,1925541867244.98,924,0.0457183922390177
3,241,1925541867244.98,925,0.0472955300936075
3,242,2193548557502.9,926,0.0489441492507082
3,243,2498857779190.97,927,0.0506607327988474
3,244,2846661487964.34,928,0.0524483532607499
3,245,3242874282218.24,929,0.0543102326202965
3,246,3694233984172.32,930,0.0562497500257382
3,247,4208416220340.96,931,0.0582704499099062
3,248,4794164949894.71,932,0.0603760505509581
3,249,5461441160621.88,933,0.0625704530985884
3,250,6221592261148.63,934,0.0648577510920844
4,240,1523572890642.43,923,0.0398322136383651
4,241,1735631498525.1,924,0.0412093255315695
4,242,1977205499765.92,925,0.042642928352738
4,243,2252402996619.2,926,0.0441355651469887
4,244,2565903877861.85,927,0.0456899022318128
4,245,2923039402943.74,928,0.0473087355308352
4,246,3329882863064.01,929,0.0489949972494983
4,247,3793352860916.22,930,0.0507517629119232
4,248,4321330965432.4,931,0.0525822587793321
4,249,4922795742311.86,932,0.0544898696716093
4,250,5607975439599.05,934,0.0584610273262889
6,240,27230294564607500,923,711.907462514449
6,241,31020345170700000,924,736.520110016048
6,242,35337914256721800,925,762.142400455081
6,243,40256424522152900,926,788.819784802788
6,244,45859518010447800,927,816.599917235181
6,245,52242478489198000,928,845.532768334148
6,246,59513851804384600,929,875.670744399642
6,247,67797291763763300,930,907.068813217108
6,248,77233662939661700,931,939.784636644381
6,249,87983436150550000,932,973.878710403767
6,250,100229417357889000,934,1044.8538461282
5,240,2602321708779470,923,68.0349689184555
5,241,2964526052408820,924,70.3871295516057
5,242,3377143834969020,925,72.835778885161
5,243,3847191854766140,926,75.3852605390144
5,244,4382663543708590,927,78.0401286870641
5,245,4992664900128820,928,80.8051588755214
5,246,5687569341425030,929,83.6853594252374
5,247,6479194109879810,930,86.6859834509373
5,248,7381001231535350,931,89.8125415321725
5,249,8408326445545710,932,93.0708150728523
5,250,9578639997077570,934,99.8537066806184
7,240,4.65E+16,923,1216.9720285991
7,241,5.30E+16,924,1259.04618168274
7,242,6.04E+16,925,1302.8462714624
7,243,6.88E+16,926,1348.44999421687
7,244,7.84E+16,927,1395.93881249895
7,245,8.93E+16,928,1445.39814864736
7,246,1.02E+17,929,1496.91758874531
7,247,1.16E+17,930,1550.5910976139
7,248,1.32E+17,931,1606.51724546316
7,249,1.50E+17,932,1664.79944685999
7,250,1.71E+17,934,1786.12807375426
7,240,5.31E+16,935,2075.45553896069
6,240,19395336324127000,935,757.514638127609
5,240,2377600629601980,935,92.8608429596792
4,240,1523572890642.43,935,0.0595054784113409
3,240,1690280103365.52,935,0.0660164845526525
7,241,6.05E+16,936,2148.94143347522
6,241,22094877675624900,936,784.336046606701
5,241,2708527152849410,936,96.1487775755575
4,241,1735631498525.1,936,0.061612395773571
3,241,1925541867244.98,936,0.0683539378630164
7,242,6.90E+16,937,2225.48294001781
6,242,25170154894068500,937,812.272714264437
5,242,3085513709234950,937,99.5734275791455
4,242,1977205499765.92,937,0.0638069207246677
3,242,2193548557502.9,937,0.0707885846619722
7,243,7.86E+16,938,2305.21916079521
6,243,28673464804483400,938,841.375411621229
5,243,3514971167950530,938,103.141016735749
4,243,2252402996619.2,938,0.0660930414702114
3,243,2498857779190.97,938,0.0733248495389705
7,244,8.95E+16,939,2388.29600107614
6,244,32664383169437700,939,871.697392227818
5,244,4004202695500870,939,106.858073195931
4,244,2565903877861.85,939,0.0684749412666752
3,244,2846661487964.34,939,0.075967373476552
7,245,1.02E+17,940,2474.86652140198
6,245,37210777808512900,940,903.294521217621
5,245,4561527950172410,940,110.73144525426
4,245,2923039402943.74,940,0.0709570085196729
3,245,3242874282218.24,940,0.0787210250535294
7,246,1.16E+17,941,2565.09130893485
6,246,42389962728885700,941,936.225410844057
5,246,5196424562518620,941,114.768317964313
4,246,3329882863064.01,941,0.0735438474308996
3,246,3694233984172.32,941,0.0815909122569008
7,247,1.32E+17,942,2659.13886902736
6,247,48290012893663700,942,970.551563398478
5,247,5919689307817680,942,118.976230658443
4,247,3793352860916.22,942,0.0762402892248432
3,247,4208416220340.96,942,0.0845823949369741
7,248,1.51E+17,943,2757.18603816129
6,248,55011261986346300,943,1006.33752192742
5,248,6743621711330310,943,123.363095423633
4,248,4321330965432.4,943,0.0790514039881656
3,248,4794164949894.71,943,0.0877010979421958
7,249,1.72E+17,944,2859.41841947041
6,249,62668008641751900,944,1043.65102919296
5,249,7682233208669970,944,127.937216587845
4,249,4922795742311.86,944,0.0819825131566022
3,249,5461441160621.88,944,0.0909529249723495
7,250,1.96E+17,945,2966.03084213465
6,250,71390460158820500,945,1082.56319534558
5,250,8751485418174440,945,132.707311274398
4,250,5607975439599.05,945,0.0850392026862677
3,250,6221592261148.63,945,0.0943440731910481
7,240,6.00E+16,946,3352.98817837332
6,240,7.27E+16,946,4064.27493729799
5,240,9538994400434200,946,533.466124603787
4,240,1523572890642.43,946,0.0852054725480718
3,240,1690280103365.52,946,0.0945285360683563
7,241,6.83E+16,947,3474.24454300538
6,241,8.28E+16,947,4211.25404296279
5,241,10866680056683700,947,552.75821854585
4,241,1735631498525.1,947,0.0882868153081138
3,241,1925541867244.98,947,0.0979470350393849
7,242,7.78E+16,948,3600.60594141879
6,242,9.43E+16,948,4364.42113968148
5,242,12379159741298700,948,572.862532049224
4,242,1977205499765.92,948,0.0914978861771057
3,242,2193548557502.9,948,0.101509456787429
7,243,8.86E+16,949,3732.30715123969
6,243,1.07E+17,949,4524.06080967478
5,243,14102154025077300,949,593.816418633719
4,243,2252402996619.2,949,0.0948446512776574
3,243,2498857779190.97,949,0.105222420239879
7,244,1.01E+17,950,3869.59452651592
6,244,1.22E+17,950,4690.47166735137
5,244,16064963398407500,950,615.65907364754
4,244,2565903877861.85,950,0.098333370910117
3,244,2846661487964.34,950,0.109092870690386
7,245,1.15E+17,923,1567.46905396866
6,245,1.39E+17,923,1899.98438769494
5,245,18300966542645600,923,249.386993682364
4,245,2923039402943.74,923,0.039832213638365
3,245,3242874282218.24,923,0.0441905986903875
7,246,1.31E+17,924,1622.80480718952
6,246,1.59E+17,924,1967.05880102054
5,246,20848187953433500,924,258.191006178787
4,246,3329882863064.01,924,0.0412383948567772
3,246,3694233984172.32,924,0.0457506422890933
7,247,1.49E+17,925,1680.44144343923
6,247,1.81E+17,925,2036.92219561607
5,247,23749944568712600,925,267.361093080272
4,247,3793352860916.22,925,0.0427030456597278
3,247,4208416220340.96,925,0.0473755531324214
7,248,1.70E+17,926,1740.48377452337
6,248,2.06E+17,926,2109.70161755863
5,248,27055582397702800,926,276.91393012343
4,248,4321330965432.4,926,0.044228829504094
3,248,4794164949894.71,926,0.0490682861089718
7,249,1.94E+17,927,1803.04174479972
6,249,2.35E+17,927,2185.53033427237
5,249,30821315677646100,927,286.867009642663
4,249,4922795742311.86,927,0.0458185402741539
3,249,5461441160621.88,927,0.0508319408059289
7,250,2.21E+17,928,1868.23069733042
6,250,2.67E+17,928,2264.54815714096
5,250,35111182828641300,928,297.238682915428
4,250,5607975439599.05,928,0.0474751090449947
3,250,6221592261148.63,928,0.0526697690125127
7,240,5.25E+16,929,1679.74513050287
6,240,21024901727275000,929,672.71230369777
5,240,2584411624298220,929,82.6907787744644
4,240,1523572890642.43,929,0.0487482054570525
3,240,1690280103365.52,929,0.0540821658516687
7,241,5.98E+16,930,1738.52131377662
6,241,23951254262515900,930,696.251268588715
5,241,2944123151466020,930,85.5842227142848
4,241,1735631498525.1,930,0.0504539603398497
3,241,1925541867244.98,930,0.0559745620457196
7,242,6.81E+16,931,1799.72495291838
6,242,27284911396446200,931,720.76239252894
5,242,3353901154717160,931,88.5971658641476
4,242,1977205499765.92,931,0.0522301628847612
3,242,2193548557502.9,931,0.0579451141864481
7,243,7.76E+16,932,1863.46593881778
6,243,31082563850404300,932,746.289685143572
5,243,3820714140307560,932,91.7350179514434
4,243,2252402996619.2,932,0.054080002256362
3,243,2498857779190.97,932,0.0599973603923519
7,244,8.84E+16,934,1995.96091549911
6,244,35408792848060800,934,799.351902365178
5,244,4352500526562830,934,98.2575031824045
4,244,2565903877861.85,934,0.0579251643753053
3,244,2846661487964.34,933,0.0621350110526831
7,245,1.01E+17,935,2067.63287143009
6,245,40337168355582200,935,828.055427506766
5,245,4958303641162950,935,101.785782410365
4,245,2923039402943.74,935,0.0600051699486421
3,245,3242874282218.24,934,0.0643619577124532
7,246,1.15E+17,936,2142.3134439208
6,246,45951500180432600,936,857.963857690252
5,246,5648425508034170,936,105.462170325674
4,246,3329882863064.01,936,0.0621724891599429
3,246,3694233984172.32,935,0.0666822824386406
7,247,1.31E+17,937,2220.14073825607
6,247,52347263204461100,937,889.132501975698
5,247,6434602039081300,937,109.293465598765
4,247,3793352860916.22,937,0.0644311299891544
3,247,4208416220340.96,936,0.0691002676947826
7,248,1.49E+17,938,2301.25966302911
6,248,59633220988157800,938,921.61939404439
5,248,7330202609994040,938,113.286801814493
4,248,4321330965432.4,938,0.06678529785634
3,248,4794164949894.71,937,0.0716204067527175
7,249,1.70E+17,939,2385.82228469265
6,249,67933275356397300,939,955.485434191185
5,249,8350457414027580,939,117.449664926038
4,249,4922795742311.86,939,0.0692394059111772
3,249,5461441160621.88,938,0.0742474146719383
7,250,1.93E+17,940,2473.98820149132
6,250,77388573418909400,940,990.794539078726
5,250,9512716460035870,940,121.789911662913
4,250,5607975439599.05,940,0.0717980858849208
3,250,6221592261148.63,939,0.0769862398788126
7,240,9.40E+16,941,4468.33272949183
6,240,3.33E+17,941,15826.4189727162
5,240,15739803688783300,941,748.491734334043
4,240,1523572890642.43,941,0.0724520926594502
3,240,1690280103365.52,940,0.0777988490438824
7,241,1.07E+17,942,4628.39180662535
6,241,3.79E+17,942,16393.3333384217
5,241,17930549454273000,942,775.303277585699
4,241,1735631498525.1,942,0.0750473817279933
3,241,1925541867244.98,941,0.0805803121427971
7,242,1.22E+17,943,4795.1515840553
6,242,4.32E+17,943,16983.9809614119
5,242,20426214334632700,943,803.23725712171
4,242,1977205499765.92,943,0.0777513197687933
3,242,2193548557502.9,942,0.0834780866309648
7,243,1.39E+17,944,4968.91880294014
6,243,4.92E+17,944,17599.4482903429
5,243,23269238519900800,944,832.345055244059
4,243,2252402996619.2,944,0.0805688804577557
3,243,2498857779190.97,943,0.0864974920238807
7,244,1.58E+17,945,5150.01527316253
6,244,5.60E+17,945,18240.8751458907
5,244,26507969241172100,945,862.680578421164
4,244,2565903877861.85,945,0.0835052818036653
3,244,2846661487964.34,944,0.0896441089653854
7,245,1.80E+17,946,5338.77865644886
6,245,6.39E+17,946,18909.4574944879
5,245,30197482942554200,946,894.300388468483
4,245,2923039402943.74,946,0.0865659988461331
3,245,3242874282218.24,945,0.0929237927898567
7,246,2.05E+17,947,5535.56329217886
6,246,7.27E+17,947,19606.4503732636
5,246,34400521887188000,947,927.263840880094
4,246,3329882863064.01,947,0.0897567770457431
3,246,3694233984172.32,946,0.096342687823313
7,247,2.34E+17,948,5740.74106831034
6,247,8.29E+17,948,20333.1709747788
5,247,39188561124850300,948,961.633230717563
4,247,3793352860916.22,948,0.0930836464057216
3,247,4208416220340.96,947,0.0999072424653826
7,248,2.67E+17,949,5954.70233998588
6,248,9.44E+17,949,21091.0019006458
5,248,44643023965519700,949,997.473946486051
4,248,4321330965432.4,949,0.0965529363667525
3,248,4794164949894.71,948,0.103624225096554
7,249,3.04E+17,950,6177.8568985425
6,249,1.08E+18,950,21881.3945936693
5,249,50856666628726200,950,1034.85463245336
4,249,4922795742311.86,950,0.100171291519047
3,249,5461441160621.88,949,0.107500740857751
7,250,3.46E+17,923,2456.56926329239
6,250,1.23E+18,923,8700.93986953016
5,250,57935155615421700,923,411.500642344182
4,250,5607975439599.05,923,0.0398322136383651
3,250,6221592261148.63,950,0.111544249352064
7,240,42510917635614700,924,1149.66550406859
6,240,121697001312016000,924,3291.17441209503
5,240,1278363487605240,924,34.5720696024044
4,240,1523572890642.43,924,0.0412035141259386
3,240,1690280103365.52,923,0.0441905986903874
7,241,48427802918222900,925,1189.49301973017
6,241,138635407633252000,925,3405.18957561768
5,241,1456292606201780,925,35.7697393930264
4,241,1735631498525.1,925,0.0426309150511258
3,241,1925541867244.98,924,0.0457183922390177
7,242,55168230325883300,926,1230.95615537287
6,242,157931387317924000,926,3523.88706683538
5,242,1658986802611880,926,37.016594592474
4,242,1977205499765.92,926,0.0441169358885899
3,242,2193548557502.9,925,0.0473088578738639
7,243,62846824631485600,927,1274.12861044958
6,243,179913079392726000,927,3647.4778669011
5,243,1889893006061880,927,38.3148514476519
4,243,2252402996619.2,927,0.0456642179948281
3,243,2498857779190.97,926,0.0489648168964802
7,244,71594164665594000,928,1319.08765958491
6,244,204954294939569000,928,3776.18319169571
5,244,2152937906882920,928,39.6668337159411
4,244,2565903877861.85,928,0.0472755308589443
3,244,2846661487964.34,927,0.0506892273690855
7,245,81559003883169400,929,1365.91433638453
6,245,233480873964044000,929,3910.23501802343
5,245,2452594732096520,929,41.0749781926056
4,245,2923039402943.74,929,0.0489537786902969
3,245,3242874282218.24,928,0.0524851911413534
7,246,92910800000038200,930,1414.69362717273
6,246,265977927045085000,930,4049.87663822871
5,246,2793959315165090,930,42.5418405367547
4,246,3329882863064.01,930,0.0507020073619687
3,246,3694233984172.32,929,0.0543559612565407
7,247,105842596717008000,931,1465.51467521745
6,247,302998084914209000,931,4195.3632448362
5,247,3182836753516540,931,44.0701014126801
4,247,3793352860916.22,931,0.0525234117301044
3,247,4208416220340.96,930,0.0563049497583118
7,248,120574306536963000,932,1518.47099603494
6,248,345170896253040000,932,4346.96254690835
5,248,3625840127502740,932,45.6625729643711
4,248,4321330965432.4,932,0.0544213433503362
3,248,4794164949894.71,931,0.0583357359208757
7,249,137356450501119000,934,1628.68523043215
6,249,393213533524019000,934,4662.4754215776
5,249,4130502959563970,934,48.9768710530513
4,249,4922795742311.86,934,0.0583713738138005
3,249,5461441160621.88,932,0.0604520749263694
7,250,156474418440736000,935,1688.33114551955
6,250,447942988892949000,935,4833.22518211831
5,250,4705407326030500,935,50.7705081767216
4,250,5607975439599.05,935,0.0605090575976146
3,250,6221592261148.63,933,0.0626579070148337
7,249.709999999987,1.65E+17,936,1.91E+03
6,249.709999999987,96512343814826500,936,1118.67397816769
5,249.709999999987,9223409863547740,936,106.908486484617
4,249.71,5400000000000,936,0.0625913664855732
3,211.699999999999,42300000000,934,0.0611552665228152
7,249.709999999987,1.88E+17,937,2.26E+03
6,249.709999999987,68742898218637800,937,824.558326468794
5,249.709999999987,8426930853577480,937,101.07947412683
4,249.71,5400000000000,937,0.0647719994109425
3,211.699999999999,42300000000,935,0.0629646603274902
7,249.709999999987,2.12E+17,938,2.64E+03
6,249.709999999987,2.58E+17,938,3.20E+03
5,249.709999999987,33809061633104800,938,419.631246270964
4,249.71,5400000000000,938,0.0670237096329415
3,211.699999999999,42300000000,936,0.0648235496530691
7,249.709999999987,1.86E+17,939,2.39E+03
6,249.709999999987,74518567522699700,939,956.992969427647
5,249.709999999987,9159931144024310,939,117.634973358852
4,249.71,5400000000000,939,0.0693486496949433
3,211.699999999999,42300000000,937,0.0667331740152917
7,249.709999999987,3.33E+17,940,4.42E+03
6,249.709999999987,1.18E+18,940,1.57E+04
5,249.709999999987,55786592450753600,940,741.228521666166
4,249.71,5400000000000,940,0.0717490321805194
3,211.699999999999,42300000000,938,0.0686948009785844
7,244.857572887623,80059219544751100,941,2046.19412534125
6,230.533960514382,35445093399342900,941,5652.23143711952
5,239.548436327989,1205309095965620,941,60.7229981740411
4,249.71,5400000000000,941,0.0742271312382693
3,211.699999999999,42300000000,939,0.0707097267191964
7,249.709999999987,3.35E+17,942,4.77E+03
6,249.709999999987,1.18E+18,942,1.68E+04
5,249.709999999987,55799101557817200,942,793.435160732754
4,249.71,5400000000000,942,0.0767852841413627
3,211.699999999999,42300000000,940,0.0727792765980977
3,240,1690280103365.52,953,0.118278216903286
3,241,1925541867244.98,954,0.122612049286232
3,241,1925541867244.98,955,0.126575885090406
3,242,2193548557502.9,956,0.131248230098625
3,243,2498857779190.97,957,0.136119803349626
3,244,2846661487964.34,958,0.141199863795025
3,245,3242874282218.24,959,0.14649813087481
3,246,3694233984172.32,960,0.152024808704626
3,247,4208416220340.96,961,0.157790611593815
3,248,4794164949894.71,962,0.163806790970401
3,249,5461441160621.88,963,0.170085163793774
3,250,6221592261148.63,964,0.176638142540595
4,240,1523572890642.43,953,0.10661279421592
4,241,1735631498525.1,954,0.110519193822765
4,242,1977205499765.92,955,0.114591362478711
4,243,2252402996619.2,956,0.118836973080236
4,244,2565903877861.85,957,0.123264078833014
4,245,2923039402943.74,958,0.127881133167753
4,246,3329882863064.01,959,0.132697010748851
4,247,3793352860916.22,960,0.137721029638272
4,248,4321330965432.4,961,0.14296297468079
4,249,4922795742311.86,962,0.148433122180644
4,250,5607975439599.05,963,0.15414226594381
6,240,27230294564607500,953,1905.45382415623
6,241,31020345170700000,954,1975.27156155151
6,242,35337914256721800,955,2048.05203218027
6,243,40256424522152900,956,2123.93237108379
6,244,45859518010447800,957,2203.05651043886
6,245,52242478489198000,958,2285.5755355068
6,246,59513851804384600,959,2371.6480601138
6,247,67797291763763300,960,2461.4406227784
6,248,77233662939661700,961,2555.12810466779
6,249,87983436150550000,962,2652.89417063531
6,250,100229417357889000,963,2754.93173466492
5,240,2602321708779470,953,182.098795880216
5,241,2964526052408820,954,188.771078225548
5,242,3377143834969020,955,195.72650054913
5,243,3847191854766140,956,202.978168456345
5,244,4382663543708590,957,210.539837135457
5,245,4992664900128820,958,218.425945374651
5,246,5687569341425030,959,226.651651445615
5,247,6479194109879810,960,235.232870960323
5,248,7381001231535350,961,244.186316813918
5,249,8408326445545710,962,253.529541333417
5,250,9578639997077570,963,263.280980758916
7,240,4.65E+16,953,3257.28290246467
7,241,5.30E+16,954,3376.63301183146
7,242,6.04E+16,955,3501.04777308518
7,243,6.88E+16,956,3630.76161207213
7,244,7.84E+16,957,3766.02057401922
7,245,8.93E+16,958,3907.08293201202
7,246,1.02E+17,959,4054.21982886046
7,247,1.16E+17,960,4207.71595426009
7,248,1.32E+17,961,4367.87025926846
7,249,1.50E+17,962,4534.99671023783
7,250,1.71E+17,963,4709.4250844704
7,240,5.31E+16,964,5253.82188555588
6,240,19395336324127000,964,1917.57756777422
5,240,2377600629601980,964,235.068552370455
4,240,1523572890642.43,964,0.150632561825213
3,240,1690280103365.52,965,0.172381609502415
7,241,6.05E+16,965,5450.23392433328
6,241,22094877675624900,965,1989.26544144116
5,241,2708527152849410,965,243.856496581214
4,241,1735631498525.1,965,0.15626390015735
3,241,1925541867244.98,966,0.178837612390118
7,242,6.90E+16,966,5655.08465694823
6,242,25170154894068500,966,2064.03333006801
5,242,3085513709234950,966,253.022008130094
4,242,1977205499765.92,966,0.162137184657229
3,242,2193548557502.9,967,0.185571304374429
7,243,7.86E+16,967,5868.76863316538
6,243,28673464804483400,967,2142.02523925574
5,243,3514971167950530,967,262.582740116884
4,243,2252402996619.2,967,0.168263727478766
3,243,2498857779190.97,968,0.192595680600522
7,244,8.95E+16,968,6091.70011930876
6,244,32664383169437700,968,2223.39237089651
5,244,4004202695500870,968,272.557227807376
4,244,2565903877861.85,968,0.174655406070232
3,244,2846661487964.34,969,0.199924386093752
7,245,1.02E+17,969,6324.31413801372
6,245,37210777808512900,969,2308.29350266969
5,245,4561527950172410,970,291.976887517392
4,245,2923039402943.74,970,0.187099576344797
3,245,3242874282218.24,970,0.207571750052851
7,246,1.16E+17,970,6567.06756537596
6,246,42389962728885700,970,2396.8953884873
5,246,5196424562518620,971,303.203311905416
4,246,3329882863064.01,971,0.194293499345778
3,246,3694233984172.32,971,0.215552822037253
7,247,1.32E+17,971,6820.44028879523
6,247,48290012893663700,971,2489.37318109206
5,247,5919689307817680,972,314.921376574092
4,247,3793352860916.22,972,0.20180246676348
3,247,4208416220340.96,972,0.223883410157398
7,248,1.51E+17,972,7084.93642900476
